"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,37
"2020-02-24 23:51:40",,,58,,,,,,,35,,,54,,,46,,,,,,40
"2020-02-25 23:51:40",,,,,,,,51,,,,,,,,,,,,,51
"2020-02-28 23:51:40",,,,,,,,,,,,,,,,,,36
"2020-03-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,9
"2020-03-02 23:51:40",,,59,,,,,,,38,,,54,,,46,,,,,,44,,,17
"2020-03-03 23:51:40",,,,,,,,45,,,,,,,,,,,,,53
"2020-03-04 23:51:40",,,,,,,25
"2020-03-06 23:51:40",,,,,,,,,,,,,,,,,,38
"2020-03-09 23:51:40",,,61,,,,,,,45,,,55,,,48,,,,,,46
"2020-03-10 23:51:40",,,,,,26,,46,,,,,,,,,,,,,53
"2020-03-11 23:51:40",,,,,,,,,,,34
"2020-03-12 23:51:40",,,,,,,,,,,,,,,,,,,22
"2020-03-13 23:51:40",,,,,,28,,,,,,,,,,,,34,,,,,,12
"2020-03-15 23:51:40",28
"2020-03-16 23:51:40",,,55,39,29,,26,,53,48,,,63,,36,61,,,,19,,50
"2020-03-17 23:51:40",,38,,,,,,46,,,,21,,34,,,,,,,49,,,,24
"2020-03-18 23:51:40",,,,,,,,,,,,,,,,,47,,,,,,51
"2020-03-19 23:51:40",,,,,,,,,,,40,,,,,,,,43
"2020-03-20 23:51:40",,,,,,53,,,56,,,,,,,,,45,,,,,,21
"2020-03-22 23:51:40",44
"2020-03-23 23:51:40",,53,62,40,29,,43,,,56,,,68,44,37,66,,,,20,,58,,,34,44
"2020-03-24 23:51:40",,,,,,,,54,,,,20,,,,,,,,,58
"2020-03-25 23:51:40",,,,,,,,,,,40,,,,,,61,,47,,,,57
"2020-03-27 23:51:40",,,,,,57,,,63,,,,,,,,,44,,,,,,35
"2020-03-29 23:51:40",56,,,50,46,,,,,,,,,,44,,,,,31
"2020-03-30 23:51:40",,60,64,,,,40,,,63,,21,66,49,,69,,,,,,64,,,42,65
"2020-03-31 23:51:40",,,,,,,,57,,,,,,,,,,,,,59
"2020-04-01 23:51:40",,,,,,,,,,,,,,,,,64,,,,,,62
"2020-04-02 23:51:40",,,,,,,,,,,,,,,,,,,46
"2020-04-03 23:51:40",,,,,,,,,66,,39,,,,,,,47
"2020-04-05 23:51:40",,,,48,48,,,,,,,,,,50,,,,,30
"2020-04-06 23:51:40",,57,62,,,,,,,48,,27,66,49,,65,,,,,,60,,,42,66
"2020-04-07 23:51:40",,,,,,,,57,,,,,,,,,59,,,,63,,58
"2020-04-08 23:51:40",,,,,,,,,,,,,,,,,,,45
"2020-04-09 23:51:40",,,,,,,,,,,41
"2020-04-10 23:51:40",,,,,,52,,,,,,,,,,,,52
"2020-04-12 23:51:40",,,,39,46,,,,,,,,,,37,,,,,37
"2020-04-13 23:51:40",,54,61,,,,38,,,48,,27,63,49,,68,,,,,,65,,,46
"2020-04-14 23:51:40",,,,,,,,56,,,,,,,,,66,,,,62,,64,40
"2020-04-16 23:51:40",,,,,,,,,,,38,,,,,,,,44
"2020-04-17 23:51:40",,,,,,54,,,,,,,,,,,,47,,,,,,36
"2020-04-19 23:51:40",,,,56,42,,,,,,,,,,46,,,,,34
"2020-04-20 23:51:40",,61,59,,,,36,,,47,,31,60,52,,64,,,,,,65,,,40
"2020-04-21 23:51:40",,,,,,,,56,,,,,,,,,,,,,61
"2020-04-22 23:51:40",,,,,,,,,,,,,,,,,63,,,,,,63
"2020-04-23 23:51:40",,,,,,,,,,,38,,,,,,,,42
"2020-04-24 23:51:40",,,,,,51,,,,,,,,,,,,50,,,,,,36
"2020-04-26 23:51:40",,,,39,40,,,,,,,,,,43,,,,,43
"2020-04-27 23:51:40",,58,62,,,,36,,,46,,30,65,48,,64,,,,,,63,,,39
"2020-04-28 23:51:40",,,,,,,,57,,,,,,,,,,,,,63
"2020-04-29 23:51:40",,,,,,,,,,,,,,,,,64,,,,,,60
"2020-04-30 23:51:40",,,,,,,,,,,35,,,,,,,,45
"2020-05-01 23:51:40",,,,,,49,,,,,,,,,,,,50,,,,,,35
"2020-05-03 23:51:40",,,,36,32,,,,,,,,,,46,,,,,39
"2020-05-04 23:51:40",,,63,,,,36,,,51,,30,63,,,65,65,,,,,61,60
"2020-05-05 23:51:40",,,,,,,,57,,,,,,,,,,,,,61
"2020-05-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,34
"2020-05-20 23:51:40",,,,,,,,,,,,,,,,,,,44
"2020-05-22 23:51:40",55,,,,,,,,,47,,,,,,,,49
"2020-05-25 23:51:40",,,,30,,,32,53,,,,,61,,33,66,,,,36,54,58
"2020-05-26 23:51:40",,46,54,,,,,,,,28,,,,,,,,,,,,,,39
"2020-05-28 23:51:40",,,,,,,,,,,,,,,,,,,46
"2020-05-30 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,38
"2020-06-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,39
"2020-06-02 23:51:40",,,,,,,,,,,27
"2020-06-03 23:51:40",,,,,,,,,,,,,,,,,60,,,,,,60
"2020-06-05 23:51:40",,,,,,,,,,,,,,,,,,47,,,,,,28
"2020-06-08 23:51:40",,,55,,,,,52,,47,,,58,,,63,,,31,,48,57,,,33
"2020-06-10 23:51:40",,,,,,,,,,,26,,,,,,61,,,,,,59
"2020-06-11 23:51:40",,41
"2020-06-12 23:51:40",,,,,,,,,,,,,,,,,,,40
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,38
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,29
"2020-06-17 23:51:40",,,,,,,,,,,25,,,,,,57,,,,,,54
"2020-06-18 23:51:40",,,,,,,33
"2020-06-22 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,37
"2020-06-23 23:51:40",,,,,,,,,,,26
